Brand Name,Year Founded,Headquarters,Number of Locations,Case Note
"Ward, Hand and Ortiz",1970,Jastside,2132,Existing record (no note)
Ergonomic Frozen Bacon,1600,Gavinstead,1,Existing record (no note)
"Breitenberg, Greenholt and Ledner",1982,Fort Lenna,1000,Existing record (no note)
Modern Granite Fish,1970,Kundebury,1,Existing record (no note)
Gorgeous Granite Pizza,1980,Jonesborough,1,Existing record (no note)
Oriental Plastic Pants,1970,Wardfort,1,Existing record (no note)
Refined Granite Towels,1600,Lemkeland,1,Existing record (no note)
Corkery Inc,1935,DuBuqueburgh,9200,Existing record (no note)
Licensed Concrete Tuna,1600,West Mylesboro,1,Existing record (no note)
Generic Cotton Pizza,1600,North Ralphport,1,Existing record (no note)
Padberg - Robel,1786,"North Javiertown, Mauritania",269,Existing record (no note)
"Paucek, McDermott and Roberts",2023,"Centennial, Bangladesh",4404,Existing record (no note)
"Graham, McKenzie and Waelchi",1950,"Leuschketown, Democratic People's Republic of Korea",5,Existing record (no note)
"Oberbrunner, Prohaska and Kassulke",1802,"Jacintoworth, Reunion",3000,Existing record (no note)
FAY LLC,1609,"Harrisonburg, Mayotte",1147,Existing record (no note)
Hayes Group & Sons,1618,"Richland, Kiribati",1262,Existing record (no note)
Kessler Inc,1629,Remote / Virtual HQ,4348,Existing record (no note)
help Industries,1652,"Boynton Beach, Ireland",4291,Existing record (no note)
Witting - Heller,1900,"Port Edythfurt, Guadeloupe",2658,Existing record (no note)
Schimmel Group International Group,1714,"Cupertino, Svalbard & Jan Mayen Islands",1099,Existing record (no note)
Padberg - Robel,1786,"North Javiertown, Mauritania",269,Standard global corporation
"Paucek, McDermott and Roberts",2023,"Centennial, Bangladesh",4404,Newly established brand (modern startup)
"Graham, McKenzie and Waelchi",1950,"Leuschketown, Democratic People's Republic of Korea",5,Mid-20th century brand with small presence
"Oberbrunner, Prohaska and Kassulke",1802,"Jacintoworth, Reunion",3000,High-growth international chain
FAY LLC,1609,"Harrisonburg, Mayotte",1147,Brand name styled in uppercase (marketing emphasis)
Hayes Group & Sons,1618,"Richland, Kiribati",1262,Family-owned traditional brand
Kessler Inc,1629,Remote / Virtual HQ,4348,Fully remote digital-first brand
help Industries,1652,"Boynton Beach, Ireland",4291,Generic industrial-style brand naming
Witting - Heller,1900,"Port Edythfurt, Guadeloupe",2658,Legacy heritage brand (founded at minimum valid year)
Schimmel Group International Group,1714,"Cupertino, Svalbard & Jan Mayen Islands",1099,Global expansion brand with strong identity
